Date,Open,High,Low,Close
2008-01-02,6456.9,6512.3,6402.6,6416.7
2008-01-03,6416.7,6487.8,6394.6,6479.4
2008-01-04,6479.4,6534.7,6333.2,6348.5
2008-01-07,6348.5,6376.5,6275.2,6335.7
2008-01-08,6335.7,6399.6,6335.7,6356.5
2008-01-09,6356.5,6356.5,6241.8,6272.7
2008-01-10,6272.7,6314.5,6213.0,6222.7
2008-01-11,6222.7,6251.8,6147.0,6202.0
2008-01-14,6202.0,6247.3,6173.0,6215.7
2008-01-15,6215.7,6215.7,6025.6,6025.6
2008-01-16,6025.6,6031.5,5908.5,5942.9
2008-01-17,5942.9,6028.4,5895.4,5902.4
2008-01-18,5902.4,6030.9,5856.8,5901.7
2008-01-21,5901.7,5901.7,5571.0,5578.2
2008-01-22,5578.2,5764.0,5338.7,5740.1
2008-01-23,5740.1,5844.9,5518.3,5609.3
2008-01-24,5609.3,5882.3,5609.3,5875.8
2008-01-25,5875.8,5973.3,5848.5,5869.0
2008-01-28,5869.0,5869.0,5705.1,5788.9
2008-01-29,5788.9,5885.2,5788.9,5885.2
2008-01-30,5885.2,5885.2,5818.6,5837.3
2008-01-31,5837.3,5899.5,5689.4,5879.8
2008-02-01,5879.8,6044.9,5879.8,6029.2
2008-02-04,6029.2,6071.3,6000.2,6026.2
2008-02-05,6026.2,6026.2,5852.8,5868.0
2008-02-06,5868.0,5892.6,5816.4,5875.4
2008-02-07,5875.4,5875.4,5708.8,5724.1
2008-02-08,5724.1,5805.3,5703.1,5784.0
2008-02-11,5784.0,5789.6,5681.5,5707.7
2008-02-12,5707.7,5910.0,5707.7,5910.0
2008-02-13,5910.0,5915.0,5814.8,5880.1
2008-02-14,5880.1,5938.5,5859.4,5879.3
2008-02-15,5879.3,5915.0,5763.5,5787.6
2008-02-18,5787.6,5951.9,5787.6,5946.6
2008-02-19,5946.6,6033.7,5884.8,5966.9
2008-02-20,5966.9,5966.9,5847.4,5893.6
2008-02-21,5893.6,6004.4,5893.6,5932.2
2008-02-22,5932.2,5970.9,5863.8,5888.5
2008-02-25,5888.5,6011.7,5888.5,5999.5
2008-02-26,5999.5,6092.5,5991.6,6087.4
2008-02-27,6087.4,6104.5,5989.0,6076.5
2008-02-28,6076.5,6090.8,5960.3,5965.7
2008-02-29,5965.7,5986.2,5859.3,5884.3
2008-03-03,5884.3,5884.3,5770.1,5818.6
2008-03-04,5818.6,5872.9,5719.8,5767.7
2008-03-05,5767.7,5860.5,5763.9,5853.5
2008-03-06,5853.5,5871.1,5753.1,5766.4
2008-03-07,5766.4,5766.4,5655.7,5699.9
2008-03-10,5699.9,5718.8,5616.6,5629.1
2008-03-11,5629.1,5783.4,5629.1,5690.4
2008-03-12,5690.4,5812.7,5690.4,5776.4
2008-03-13,5776.4,5776.4,5628.9,5692.4
2008-03-14,5692.4,5782.0,5595.8,5631.7
2008-03-17,5631.7,5631.7,5414.4,5414.4
2008-03-18,5414.4,5610.0,5414.4,5605.8
2008-03-19,5605.8,5653.6,5524.8,5545.6
2008-03-20,5545.6,5545.6,5461.9,5495.2
2008-03-25,5495.2,5704.3,5495.2,5689.1
2008-03-26,5689.1,5689.1,5639.1,5660.4
2008-03-27,5660.4,5735.0,5650.9,5717.5
2008-03-28,5717.5,5747.2,5673.7,5692.9
2008-03-31,5702.1,5702.1,5702.1,5702.1
2008-04-01,5852.6,5852.6,5852.6,5852.6
2008-04-02,5852.6,5920.1,5827.2,5915.9
2008-04-03,5891.3,5891.3,5891.3,5891.3
2008-04-04,5891.3,5948.0,5888.0,5947.1
2008-04-07,6014.8,6014.8,6014.8,6014.8
2008-04-08,6014.8,6014.8,5942.2,5990.2
2008-04-09,5983.9,5983.9,5983.9,5983.9
2008-04-10,5983.9,6003.2,5881.9,5965.1
2008-04-11,5965.1,6016.3,5866.1,5895.5
2008-04-14,5831.6,5831.6,5831.6,5831.6
2008-04-15,5906.9,5906.9,5906.9,5906.9
2008-04-16,5906.9,6046.2,5906.9,6046.2
2008-04-17,6046.2,6086.4,5973.9,5980.4
2008-04-18,5980.4,6062.1,5974.3,6056.5
2008-04-21,6056.5,6089.5,6021.2,6053.0
2008-04-22,6053.0,6072.0,6007.5,6034.7
2008-04-23,6034.7,6083.6,5978.8,6083.6
2008-04-24,6083.6,6083.6,5951.9,6050.7
2008-04-25,6050.7,6098.8,6045.5,6091.4
2008-04-28,6091.4,6134.5,6083.5,6090.4
2008-04-29,6090.4,6133.5,6051.6,6089.4
2008-04-30,6089.4,6120.3,6035.8,6087.3
2008-05-01,6087.3,6118.2,6066.0,6087.3
2008-05-02,6087.3,6223.9,6087.3,6215.5
2008-05-06,6215.5,6233.7,6155.9,6215.2
2008-05-07,6215.2,6275.0,6214.1,6261.0
2008-05-08,6256.5,6273.3,6217.0,6270.8
2008-05-09,6270.8,6270.8,6167.6,6204.7
2008-05-12,6204.7,6251.9,6184.8,6220.6
2008-05-13,6220.6,6268.1,6142.3,6211.9
2008-05-14,6211.9,6253.1,6167.9,6216.0
2008-05-15,6216.0,6258.5,6168.8,6251.8
2008-05-16,6251.8,6348.6,6251.8,6304.3
2008-05-19,6304.3,6377.0,6302.8,6376.5
2008-05-20,6376.5,6376.5,6191.6,6191.6
2008-05-21,6191.6,6257.3,6183.5,6198.1
2008-05-22,6198.1,6226.2,6159.4,6181.6
2008-05-23,6181.6,6182.9,6087.3,6087.3
2008-05-27,6087.3,6141.7,6048.7,6058.5
2008-05-28,6058.5,6122.2,6052.5,6069.6
2008-05-29,6069.6,6130.5,6041.1,6068.1
2008-05-30,6068.1,6111.6,6044.7,6053.5
2008-06-02,6053.5,6060.8,5978.4,6007.6
2008-06-03,6007.6,6059.0,5993.3,6057.7
2008-06-04,6057.7,6057.7,5933.3,5970.1
2008-06-05,5970.1,6005.1,5941.0,5995.3
2008-06-06,5995.3,6074.5,5906.5,5906.8
2008-06-09,5906.8,5938.5,5869.6,5877.6
2008-06-10,5877.6,5877.6,5813.4,5827.3
2008-06-11,5827.3,5859.4,5708.3,5723.3
2008-06-12,5723.3,5797.8,5719.8,5790.5
