Source: Total revenue - ONS ESA Table 2 (General government main aggregates); GDP - ONS series YBHA. Ratio = Total revenue / GDP * 100
Year,Total_Revenue_GBPm,GDP_CurrentPrices_GBPm,Revenue_to_GDP_Pct
1990,227587,672977,33.82
1991,238031,708072,33.62
1992,241577,733221,32.95
1993,244677,772390,31.68
1994,262194,813527,32.23
1995,282664,854921,33.06
1996,300002,913609,32.84
1997,322933,958539,33.69
1998,351490,1002804,35.05
1999,372689,1046727,35.61
2000,402079,1104759,36.4
2001,417942,1150542,36.33
2002,423991,1194646,35.49
2003,447902,1262502,35.48
2004,488059,1327143,36.78
2005,532688,1403249,37.96
2006,561010,1478080,37.96
2007,594042,1551729,38.28
2008,625274,1602217,39.03
2009,576520,1559405,36.97
2010,612140,1615839,37.88
2011,637367,1669945,38.17
2012,643820,1721708,37.39
2013,685641,1789072,38.32
2014,700490,1875066,37.36
2015,725144,1928016,37.61
2016,763115,2004755,38.07
2017,805501,2097222,38.41
2018,832110,2171559,38.32
2019,859047,2252961,38.13
2020,825490,2124720,38.85
2021,926020,2322652,39.87
2022,1056873,2580949,40.95
2023,1114183,2752164,40.48
2024,1162812,2891444,40.22
2025,1246259,3039861,41.0
