"Source: ONS UK Trade Time Series (MRET), goods only, current prices, seasonally adjusted, GBP millions",,,
Year,Exports_to_EU_GBPm,Imports_from_EU_GBPm,Balance_GBPm
2008,142552,185557,-43005
2009,126230,167510,-41280
2010,143305,188045,-44740
2011,161494,205315,-43821
2012,151604,209563,-57959
2013,151965,218642,-66677
2014,148372,221142,-72770
2015,134126,218553,-84427
2016,145802,237380,-91578
2017,167765,258599,-90834
2018,177090,269417,-92327
2019,174724,269972,-95248
2020,150029,232649,-82620
2021,159160,237563,-78403
2022,208295,306423,-98128
2023,191793,324139,-132346
2024,183836,315119,-131283
2025,181381,319668,-138287
